1.000 1.000
2.000 4.000
3.000 8.000
4.000 12.000
5.000 16.000
6.000 18.000
7.000 22.000
8.000 26.000
9.000 30.000
10.000 34.000
11.000 39.000
12.000 45.000
13.000 48.000
14.000 50.000
15.000 58.000
16.000 61.000
17.000 66.000
18.000 71.000
19.000 76.000
20.000 81.000
21.000 87.000
22.000 92.000
23.000 100.000
24.000 104.000
25.000 114.000
26.000 112.000
27.000 116.000
28.000 116.000
29.000 127.000
30.000 132.000
31.000 139.000
32.000 144.000
33.000 153.000
34.000 159.000
35.000 159.000
36.000 170.000
37.000 172.000
38.000 181.000
39.000 184.000
40.000 195.000
41.000 193.000
42.000 205.000
43.000 210.000
44.000 217.000
45.000 223.000
46.000 233.000
47.000 243.000
48.000 245.000
49.000 249.000
50.000 254.000
51.000 263.000
52.000 274.000
53.000 267.000
54.000 283.000
55.000 287.000
56.000 289.000
57.000 300.000
58.000 306.000
59.000 314.000
60.000 322.000
61.000 335.000
62.000 334.000
63.000 344.000
64.000 352.000
65.000 352.000
66.000 361.000
67.000 374.000
68.000 380.000
69.000 386.000
70.000 388.000
71.000 399.000
72.000 403.000
73.000 409.000
74.000 415.000
75.000 430.000
76.000 432.000
77.000 435.000
78.000 450.000
79.000 461.000
80.000 449.000
81.000 467.000
82.000 471.000
83.000 487.000
84.000 492.000
85.000 492.000
86.000 502.000
87.000 504.000
88.000 520.000
89.000 524.000
90.000 533.000
91.000 536.000
92.000 545.000
93.000 554.000
94.000 561.000
95.000 567.000
96.000 571.000
97.000 585.000
98.000 581.000
99.000 595.000
